resistance_coef,dampening_cap,herding_prob,runs,event_preservation,event_preservation_sd,market_impact,market_impact_sd,peak_impact,damp_p90,strategy_spread,strategy_spread_sd,divergence_runs,rejected,reject_reason,mean_damp,cap_bind_ratio,fill_mismatch,leader_changes_2nd_half,ruined_ratio,flat_ratio,ret_momentum,ret_contrarian,ret_random,ret_buy_and_hold,ret_news_reactive
0.7,0.6,0.0,30,0.9782,0.0042,0.00380,0.00101,0.02111,0.1714,0.0256,0.0129,0,0,,0.0713,0.0043,0.0003,8.73,0.0000,0.5308,0.0309,0.0196,0.0134,0.0155,-0.0076
0.7,0.7,0.0,30,0.9781,0.0043,0.00385,0.00106,0.02115,0.1714,0.0257,0.0130,0,0,,0.0717,0.0027,0.0003,8.77,0.0000,0.5300,0.0307,0.0195,0.0133,0.0155,-0.0077
0.7,0.8,0.0,30,0.9781,0.0043,0.00385,0.00106,0.02115,0.1714,0.0257,0.0130,0,0,,0.0717,0.0000,0.0003,8.77,0.0000,0.5300,0.0307,0.0195,0.0133,0.0155,-0.0077
0.1,0.5,0.5,30,0.9974,0.0008,0.00063,0.00027,0.00411,0.0220,0.0384,0.0176,0,0,,0.0093,0.0000,0.0013,9.93,0.0000,0.4033,0.0135,0.0138,-0.0137,0.0133,-0.0178
0.1,0.6,0.5,30,0.9974,0.0008,0.00063,0.00027,0.00411,0.0220,0.0384,0.0176,0,0,,0.0093,0.0000,0.0013,9.93,0.0000,0.4033,0.0135,0.0138,-0.0137,0.0133,-0.0178
0.1,0.7,0.5,30,0.9974,0.0008,0.00063,0.00027,0.00411,0.0220,0.0384,0.0176,0,0,,0.0093,0.0000,0.0013,9.93,0.0000,0.4033,0.0135,0.0138,-0.0137,0.0133,-0.0178
0.1,0.8,0.5,30,0.9974,0.0008,0.00063,0.00027,0.00411,0.0220,0.0384,0.0176,0,0,,0.0093,0.0000,0.0013,9.93,0.0000,0.4033,0.0135,0.0138,-0.0137,0.0133,-0.0178
0.3,0.5,0.5,30,0.9917,0.0030,0.00172,0.00074,0.01090,0.0655,0.0426,0.0180,0,0,,0.0275,0.0000,0.0012,8.33,0.0000,0.4392,0.0207,0.0132,-0.0091,0.0141,-0.0103
0.3,0.6,0.5,30,0.9917,0.0030,0.00172,0.00074,0.01090,0.0655,0.0426,0.0180,0,0,,0.0275,0.0000,0.0012,8.33,0.0000,0.4392,0.0207,0.0132,-0.0091,0.0141,-0.0103
0.3,0.7,0.5,30,0.9917,0.0030,0.00172,0.00074,0.01090,0.0655,0.0426,0.0180,0,0,,0.0275,0.0000,0.0012,8.33,0.0000,0.4392,0.0207,0.0132,-0.0091,0.0141,-0.0103
0.3,0.8,0.5,30,0.9917,0.0030,0.00172,0.00074,0.01090,0.0655,0.0426,0.0180,0,0,,0.0275,0.0000,0.0012,8.33,0.0000,0.4392,0.0207,0.0132,-0.0091,0.0141,-0.0103
0.5,0.5,0.5,30,0.9874,0.0044,0.00297,0.00120,0.01856,0.1088,0.0401,0.0177,0,0,,0.0459,0.0165,0.0010,8.90,0.0000,0.4567,0.0106,0.0053,-0.0135,0.0145,0.0003
0.5,0.6,0.5,30,0.9874,0.0044,0.00297,0.00120,0.01856,0.1088,0.0401,0.0177,0,0,,0.0459,0.0000,0.0010,8.90,0.0000,0.4567,0.0106,0.0053,-0.0135,0.0145,0.0003
0.5,0.7,0.5,30,0.9874,0.0044,0.00297,0.00120,0.01856,0.1088,0.0401,0.0177,0,0,,0.0459,0.0000,0.0010,8.90,0.0000,0.4567,0.0106,0.0053,-0.0135,0.0145,0.0003
0.5,0.8,0.5,30,0.9874,0.0044,0.00297,0.00120,0.01856,0.1088,0.0401,0.0177,0,0,,0.0459,0.0000,0.0010,8.90,0.0000,0.4567,0.0106,0.0053,-0.0135,0.0145,0.0003
0.7,0.5,0.5,30,0.9830,0.0075,0.00337,0.00119,0.02043,0.1450,0.0393,0.0180,0,0,,0.0589,0.0212,0.0010,8.37,0.0000,0.4408,0.0276,0.0185,-0.0066,0.0146,0.0103
0.7,0.6,0.5,30,0.9809,0.0064,0.00378,0.00140,0.02394,0.1457,0.0395,0.0189,0,0,,0.0615,0.0190,0.0009,9.73,0.0000,0.4417,0.0387,0.0279,0.0022,0.0157,0.0262
0.7,0.7,0.5,30,0.9804,0.0085,0.00411,0.00184,0.02541,0.1500,0.0339,0.0144,0,0,,0.0633,0.0170,0.0011,9.80,0.0000,0.4317,0.0257,0.0225,-0.0021,0.0146,0.0011
0.7,0.8,0.5,30,0.9804,0.0085,0.00411,0.00184,0.02541,0.1500,0.0339,0.0144,0,0,,0.0633,0.0000,0.0011,9.80,0.0000,0.4317,0.0257,0.0225,-0.0021,0.0146,0.0011
